"sku","_store","_attribute_set","_type","_category","_product_websites","name","description","short_description","weight","news_from_date","news_to_date","status","url_key","visibility","gift_message_available","price","special_price","special_from_date","special_to_date","cost","tax_class_id","enable_googlecheckout","meta_title","meta_keyword","meta_description","allow_open_amount","open_amount_max","giftcard_type","is_redeemable","use_config_is_redeemable","lifetime","use_config_lifetime","allow_message","use_config_allow_message","email_template","use_config_email_template","activation_information","color","computer_manufacturers","contrast_ratio","country_orgin","cpu_speed","created_at","custom_design","custom_design_from","custom_design_to","custom_layout_update","designeditor_theme_id","dimension","finish","gallery","gender","harddrive_speed","hardrive","has_options","image","image_label","in_depth","is_imported","manufacturer","max_resolution","megapixels","memory","minimal_price","model","open_amount_min","options_container","page_layout","processor","ram_size","required_options","response_time","room","screensize","shape","shirt_size","shoe_size","shoe_type","small_image","small_image_label","thumbnail","thumbnail_label","updated_at","url_path","_additional_image","_additional_image_label","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","use_config_qty_increments","qty_increments","use_config_enable_qty_increments","enable_qty_increments","_giftcard_amounts_website","_giftcard_amounts_amount","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_custom_option_store","_custom_option_type","_custom_option_title","_custom_option_is_required","_custom_option_price","_custom_option_sku","_custom_option_max_characters","_custom_option_sort_order","_custom_option_row_title","_custom_option_row_price","_custom_option_row_sku","_custom_option_row_sort"
"1049","","pulseras","simple","Pulseras","base","2 Nudos Plata.  Ref.1049","Cordones de Cuero con cierre imán de T y piezas de metal en Zamak bañado en plata.","Cordones de Cuero con cierre imán de T y piezas de metal en Zamak bañado en plata.","1.0000","","","1","2-nudos-plata","4","2","26.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-13 17:03:34","","","","","0","","","","","","","0","/2/_/2_nudos-plata_ref.1049.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/2/_/2_nudos-plata_ref.1049.jpg","","/2/_/2_nudos-plata_ref.1049.jpg","","2011-05-10 11:38:49","2-nudos-plata.html","/a/p/aparejos_web_blanco_030.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1067","","pulseras","simple","Pulseras","base","Almadraba.  Ref.1067","Cordón de Algodón con cierre y piezas de metal en Zamak bañado en plata.","Cordón de Algodón con cierre y piezas de metal en Zamak bañado en plata.","1.0000","","","1","almadraba","4","2","22.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-13 17:27:51","","","","","0","","","","","","","0","/a/l/almadraba_ref.1067.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/a/l/almadraba_ref.1067.jpg","","/a/l/almadraba_ref.1067.jpg","","2011-05-10 11:37:10","almadraba.html","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1038","","pulseras","simple","Pulseras","base","Bahia.  Ref.1038","Cordones de Cuero con cierre imán plano en Zamak bañado en plata.","Cordones de Cuero con cierre imán plano en Zamak bañado en plata.","1.0000","","","1","bahia","4","2","20.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-13 17:41:22","","","","","0","","","","","","","0","/2/0/2011_mayo_025.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/2/0/2011_mayo_025.jpg","","/2/0/2011_mayo_025.jpg","","2011-05-11 11:13:05","bahia.html","/b/a/bahia_ref.1038.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1009","","pulseras","simple","Pulseras","base","Banus.  Ref.1009","Cordones de Cuero con cierre espiral y piezas de metal en Zamak bañado en plata.","Cordones de Cuero con cierre espiral y piezas de metal en Zamak bañado en plata.","1.0000","","","1","banus","4","2","24.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-13 17:49:19","","","","","0","","","","","","","0","/b/a/ban_s_ref.1009_1.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/b/a/ban_s_ref.1009_1.jpg","","/b/a/ban_s_ref.1009_1.jpg","","2011-05-09 21:23:13","banus.html","/a/p/aparejos_web_blanco_079.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1016","","pulseras","simple","Pulseras","base","Bolonia.  Ref.1016","Cordón de Algodón con cierre botón y piezas de metal en Zamak bañado en plata.","Cordón de Algodón con cierre botón y piezas de metal en Zamak bañado en plata.","1.0000","","","1","bolonia","4","2","25.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-13 17:58:09","","","","","0","","","","","","","0","/b/o/bolonia_ref.1016_1_1.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/b/o/bolonia_ref.1016_1_1.jpg","","/b/o/bolonia_ref.1016_1_1.jpg","","2011-05-17 16:14:52","bolonia.html","/a/p/aparejos_web_blanco_013_1.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/a/p/aparejos_web_blanco_015_1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","/2/0/2011_enero_181.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100","","pulseras","simple","Pulseras","base","Brazalete brazo.  Ref.1100","Cordón de Cuero adaptable con piezas de metal en Zamak bañado en plata.","Cordón de Cuero adaptable con piezas de metal en Zamak bañado en plata.","1.0000","","","1","brazaletebrazo","4","2","22.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-13 18:01:55","","","","","0","","","","","","","0","/b/r/brazalete_brazo_ref.1100.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/b/r/brazalete_brazo_ref.1100.jpg","","/b/r/brazalete_brazo_ref.1100.jpg","","2011-05-17 16:11:50","brazaletebrazo.html","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1077","","pulseras","simple","Pulseras","base","Brazalete trenza y cuero.  Ref.1077","Tira y trenza de Cuero con cierre imán plano en Zamak bañado en plata.","Tira y trenza de Cuero con cierre imán plano en Zamak bañado en plata.","1.0000","","","1","brazaletetrenzaycuero","4","2","20.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-13 18:11:56","","","","","0","","","","","","","0","/r/e/ref.1077-1.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/r/e/ref.1077-1.jpg","","/r/e/ref.1077-1.jpg","","2011-05-17 16:11:33","brazaletetrenzaycuero.html","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1032","","pulseras","simple","Pulseras","base","Buda cuero.  Ref.1032","Base de Cuero forrada con cordones de Algodón, cierre bola de imán y piezas de metal en Zamak bañado en plata.","Base de Cuero forrada con cordones de Algodón, cierre bola de imán y piezas de metal en Zamak bañado en plata.","1.0000","","","1","budacuero","4","2","28.0000","","","","","2","0","","","","","","","","","","","","","","","","","","","","","2011-03-13 18:14:23","","","","","0","","","","","","","0","/b/u/buda-cuero_ref.1032_1.jpg","","","No","","","","","","","","Block after Info Column","","","","0","","","","","","","","/b/u/buda-cuero_ref.1032_1.jpg","","/b/u/buda-cuero_ref.1032_1.jpg","","2011-05-17 16:08:33","budacuero.html","/a/p/aparejos_web_blanco_112_1.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
