"sku","_store","_attribute_set","_type","_category","_product_websites","name","image","small_image","thumbnail","_additional_image","_additional_image_label","qty","min_qty","use_config_min_qty","is_qty_decimal","backorders","use_config_backorders","min_sale_qty","use_config_min_sale_qty","max_sale_qty","use_config_max_sale_qty","is_in_stock","notify_stock_qty","use_config_notify_stock_qty","manage_stock","use_config_manage_stock","use_config_qty_increments","qty_increments","use_config_enable_qty_increments","enable_qty_increments","_giftcard_amounts_website","_giftcard_amounts_amount","_links_related_sku","_links_related_position","_links_crosssell_sku","_links_crosssell_position","_links_upsell_sku","_links_upsell_position","_associated_sku","_associated_default_qty","_associated_position","_tier_price_website","_tier_price_customer_group","_tier_price_qty","_tier_price_price","_custom_option_store","_custom_option_type","_custom_option_title","_custom_option_is_required","_custom_option_price","_custom_option_sku","_custom_option_max_characters","_custom_option_sort_order","_custom_option_row_title","_custom_option_row_price","_custom_option_row_sku","_custom_option_row_sort"
"1049","","pulseras","simple","Pulseras","base","2 Nudos Plata.  Ref.1049","/2/_/2_nudos-plata_ref.1049.jpg","/2/_/2_nudos-plata_ref.1049.jpg","/2/_/2_nudos-plata_ref.1049.jpg","/a/p/aparejos_web_blanco_030.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1067","","pulseras","simple","Pulseras","base","Almadraba.  Ref.1067","/a/l/almadraba_ref.1067.jpg","/a/l/almadraba_ref.1067.jpg","/a/l/almadraba_ref.1067.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1038","","pulseras","simple","Pulseras","base","Bahia.  Ref.1038","/2/0/2011_mayo_025.jpg","/2/0/2011_mayo_025.jpg","/2/0/2011_mayo_025.jpg","/b/a/bahia_ref.1038.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1009","","pulseras","simple","Pulseras","base","Banus.  Ref.1009","/b/a/ban_s_ref.1009_1.jpg","/b/a/ban_s_ref.1009_1.jpg","/b/a/ban_s_ref.1009_1.jpg","/a/p/aparejos_web_blanco_079.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1016","","pulseras","simple","Pulseras","base","Bolonia.  Ref.1016","/b/o/bolonia_ref.1016_1_1.jpg","/b/o/bolonia_ref.1016_1_1.jpg","/b/o/bolonia_ref.1016_1_1.jpg","/a/p/aparejos_web_blanco_013_1.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","/a/p/aparejos_web_blanco_015_1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","/2/0/2011_enero_181.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1100","","pulseras","simple","Pulseras","base","Brazalete brazo.  Ref.1100","/b/r/brazalete_brazo_ref.1100.jpg","/b/r/brazalete_brazo_ref.1100.jpg","/b/r/brazalete_brazo_ref.1100.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1077","","pulseras","simple","Pulseras","base","Brazalete trenza y cuero.  Ref.1077","/r/e/ref.1077-1.jpg","/r/e/ref.1077-1.jpg","/r/e/ref.1077-1.jpg","","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1032","","pulseras","simple","Pulseras","base","Buda cuero.  Ref.1032","/b/u/buda-cuero_ref.1032_1.jpg","/b/u/buda-cuero_ref.1032_1.jpg","/b/u/buda-cuero_ref.1032_1.jpg","/a/p/aparejos_web_blanco_112_1.jpg","","0.0000","0.0000","1","0","0","1","1.0000","1","0.0000","1","0","","1","0","1","1","0.0000","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
