sku,_store,_attribute_set,_type,_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,enable_googlecheckout,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,_media_image,_media_position,_media_is_disabled,_media_attribute_id
1002,,pulseras,simple,Pulseras,base,,,,"2011-10-11 14:22:21",,,,,"Cordón de Algodón con piezas de metal en Zamak bañado en plata.",1,,,0,/ref1002.jpg,,No,,,,,,,,"Usar configuración","Usar configuración","Trafalgar.  Ref.1002",,,"Bloque después de la columna de Información",,22.0000,0,"Cordón de Algodón con piezas de metal en Zamak bañado en plata.",/ref1002.jpg,,,,,1,2,/ref1002.jpg,,"2011-10-13 10:53:16",trafalgar,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1002.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1002a1.jpg,2,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1002a2.jpg,3,0,80
1006,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Pulsera de metal en Zamak bañado en plata.",1,,,0,/ref1006.jpg,,No,,,,,,,,"Usar configuración","Usar configuración","Los Caños.  Ref.1006",,,"Bloque después de la columna de Información",,29.0000,0,"Pulsera de metal en Zamak bañado en plata.",/ref1006.jpg,,,,,1,2,/ref1006.jpg,,"2011-10-13 10:04:36",loscanios,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1006.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1006a1.jpg,2,0,80
1008,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre plano de imán y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1008.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Punta Paloma.  Ref.1008",,,"Bloque después de la columna de Información",,25.0000,0,"Cordones de Cuero con cierre plano de imán y piezas de metal en Zamak bañado en plata.",/ref1008.jpg,,,,,1,2,/ref1008.jpg,,"2011-10-02 12:18:27",puntapaloma,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1008.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1008a1.jpg,2,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1008a2.jpg,3,0,80
1009,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre espiral y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1009.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Banus.  Ref.1009",,,"Bloque después de la columna de Información",,24.0000,0,"Cordones de Cuero con cierre espiral y piezas de metal en Zamak bañado en plata.",/ref1009.jpg,,,,,1,2,/ref1009.jpg,,"2011-10-02 12:18:27",banus,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1009.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1009a2.jpg,2,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1009a3.jpg,3,0,80
1014,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre visagra y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1014.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Cadiz.  Ref.1014",,,"Bloque después de la columna de Información",,22.0000,0,"Cordones de Cuero con cierre visagra y piezas de metal en Zamak bañado en plata.",/ref1014.jpg,,,,,1,2,/ref1014.jpg,,"2011-10-02 12:18:27",cadiz,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1014.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1014a1.jpg,2,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1014a2.jpg,3,0,80
1016,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordón de Algodón con cierre botón y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1016.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Bolonia.  Ref.1016",,,"Bloque después de la columna de Información",,25.0000,0,"Cordón de Algodón con cierre botón y piezas de metal en Zamak bañado en plata.",/ref1016.jpg,,,,,1,2,/ref1016.jpg,,"2011-10-02 12:18:27",bolonia,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1016.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1016a1.jpg,2,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1016a2.jpg,3,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1016a3.jpg,4,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1016a4.jpg,5,0,80
1017,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre espiral y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1017.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Roche Ref.1017",,,"Bloque después de la columna de Información",,26.0000,0,"Cordones de Cuero con cierre espiral y piezas de metal en Zamak bañado en plata.",/ref1017.jpg,,,,,1,2,/ref1017.jpg,,"2011-10-02 12:18:27",roche,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1017.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1017a1.jpg,2,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1017a2.jpg,3,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1017a3.jpg,4,0,80
1018,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre de visagra y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1018.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Cortadura.  Ref.1018",,,"Bloque después de la columna de Información",,22.0000,0,"Cordones de Cuero con cierre de visagra y piezas de metal en Zamak bañado en plata.",/ref1018.jpg,,,,,1,2,/ref1018.jpg,,"2011-10-02 12:18:27",cortadura,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1018.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1018a1.jpg,2,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1018a2.jpg,3,0,80
1022,,pulseras,simple,Pulseras,base,,,,"2011-10-02 12:18:27",,,,,"Cordones de Cuero con cierre de T y piezas de metal en Zamak bañado en plata.",1,,,0,/ref1022.jpg,,,,,,,,,,"Usar configuración","Usar configuración","Valdevaqueros.  Ref.1022",,,"Bloque después de la columna de Información",,24.0000,0,"Cordones de Cuero con cierre de T y piezas de metal en Zamak bañado en plata.",/ref1022.jpg,,,,,1,2,/ref1022.jpg,,"2011-10-02 12:18:27",valdevaqueros,,4,1.0000,1.0000,0.0000,1,0,0,1,1.0000,1,0.0000,1,1,,1,0,1,0,1,0.0000,1,0,/ref1022.jpg,1,0,80
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ref1022a1.jpg,2,0,80
